"PublicationID","PubTypeID","Year","Citation","ArticleTitle","Journal","Volume","Issue","Pages","CitationNumber","DOI","BookTitle","NumVolumes","Edition","VolumeTitle","SeriesTitle","SeriesVolume","Publisher","URL","City","State","Country","OriginalLanguage","Notes","RecDateCreated","RecDateModified"
1,7,"2006","International Organization for Standardization. 2006. Codes for the representation of names of countries and their subdivisions — Part 1: Country codes. ISO 3166-1, Geneva, Switzerland.","Codes for the representation of names of countries and their subdivisions — Part 1: Country codes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISO","3166-1",NA,NA,"Geneva",NA,"Switzerland",NA,NA,"2013-09-30 14:02:54","2013-09-30 14:02:54"
2,7,"2004","United States Central Intelligence Agency. 2004. CIA World Factbook. Washington, DC, USA.","CIA World Factbook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington, DC",NA,"USA",NA,NA,"2013-09-30 14:02:54","2013-09-30 14:02:54"
3,2,"1978","Davis, M.B. 1978. Climatic interpretation of pollen in Quaternary sediments. Pages 35-51 in D. Walker and J.C. Guppy, editors. Biology and Quaternary environments. Australian Academy of Science, Canberra City, Australia.","Climatic interpretation of pollen in Quaternary sediments",NA,NA,NA,"35-51",NA,NA,"Biology and Quaternary environments",NA,NA,NA,NA,NA,"Australian Academy of Science",NA,"Canberra City",NA,"Australia",NA,NA,"2013-09-30 14:02:54","2013-09-30 14:02:54"
4,1,"2011","Hausmann, S., I. Larocque-Tobler, P.J.H. Richard, R. Pienitz, G. St-Onge, and F. Fye. 2011. Diatom-inferred wind activity at Lac du Sommet, southern Québec, Canada: A multiproxy paleoclimate reconstruction based on diatoms, chironomids, and pollen for the past 9500 years. The Holocene 21(6):925-938. http://hol.sagepub.com/content/21/6/925.full.pdf+html. [DOI: 10.1177/0959683611400199]","Diatom-inferred wind activity at Lac du Sommet, southern Québec, Canada: A multiproxy paleoclimate reconstruction based on diatoms, chironomids, and pollen for the past 9500 years","The Holocene","21","6","925-938",NA,"10.1177/0959683611400199",NA,NA,NA,NA,NA,NA,NA,"http://hol.sagepub.com/content/21/6/925.full.pdf+html",NA,NA,NA,NA,NA,"2013-09-30 14:02:54","2015-06-02 15:19:14"
5,1,"1968","Janssen, C.R. 1968. Myrtle Lake: a late- and post-glacial pollen diagram from northern Minnesota. Canadian Journal of Botany 46:1397-1410.","Myrtle Lake: a late- and post-glacial pollen diagram from northern Minnesota","Canadian Journal of Botany","46",NA,"1397-1410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-09-30 14:02:54","2013-09-30 14:02:54"
6,1,"1977","Sirkin, L.A., C.S. Denny, and M. Rubin. 1977. Late Pleistocene environment of the central Delmarva Peninsula, Delaware-Maryland. Geological Society of America Bulletin 88:139-142.","Late Pleistocene environment of the central Delmarva Peninsula, Delaware-Maryland","Geological Society of America Bulletin","88",NA,"139-142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-09-30 14:02:54","2013-09-30 14:02:54"
7,2,"1982","Maher, L.J., Jr. 1982. The palynology of Devils Lake, Sauk County, Wisconsin. Pages 119-135 in J.C. Knox, L. Clayton, and D.M. Mickelson, editors. Quaternary History of the Driftless Area. Field Trip Guide Book 5. University of Wisconsin-Extension, Geological and Natural History Survey, Madison, Wisconsin, USA. Notes: Prepared for 29th Annual Meeting Midwest Friends of the Pleistocene, Prairie du Chien, Wisconsin, May 22 and 23, 1982.","The palynology of Devils Lake, Sauk County, Wisconsin",NA,NA,NA,"119-135",NA,NA,"Quaternary History of the Driftless Area",NA,NA,NA,"Field Trip Guide Book","5","University of Wisconsin-Extension, Geological and Natural History Survey",NA,"Madison","Wisconsin","USA",NA,"Prepared for 29th Annual Meeting Midwest Friends of the Pleistocene, Prairie du Chien, Wisconsin, May 22 and 23, 1982.","2013-09-30 14:02:54","2013-09-30 14:02:54"
8,1,"1986","Jacobson, G.L., Jr., and E.C. Grimm. 1986. A numerical analysis of Holocene forest and prairie vegetation in central Minnesota. Ecology 67(4):958-966. [DOI: 10.2307/1939818]","A numerical analysis of Holocene forest and prairie vegetation in central Minnesota","Ecology","67","4","958-966",NA,"10.2307/1939818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-09-30 14:02:54","2015-05-23 16:53:36"
9,1,"1972","Craig, A.J. 1972. Pollen influx to laminated sediments: a pollen diagram from northeastern Minnesota. Ecology 53:46-57.","Pollen influx to laminated sediments: a pollen diagram from northeastern Minnesota","Ecology","53",NA,"46-57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-09-30 14:02:54","2013-09-30 14:02:54"
10,1,"1979","Delcourt, H.R. 1979. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Ecological Monographs 49:255-280.","Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee","Ecological Monographs","49",NA,"255-280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-09-30 14:02:54","2013-09-30 14:02:54"
